6000,1001,14000,8016,name
-0.27,-0.0075,-0.3092,-0.4133,concentration_C_27_Si_3092
-0.187,-0.0052,-0.3576,-0.4502,concentration_C_187_Si_3576
-0.115,-0.0032,-0.3996,-0.4822,concentration_C_115_Si_3996
-0.0532,-0.0015,-0.4356,-0.5097,concentration_C_0532_Si_4356
-0.0258,-0.0007,-0.4516,-0.5219,concentration_C_0258_Si_4516
-0.0001,-0.0001,-0.4666,-0.5332,concentration_C_0001_Si_4666
